Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Development),Custom field (Issue color),Custom field (Rank),Sprint,Sprint,Custom field (Start date),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Status Category,Status Category Changed
QA-S2-03: Bug template ,SBS-377,10483,Feature,Done,SBS,Sprint_Backlog_SmartSpend,software,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,,Medium,Done,Bùi Quang Hiếu,712020:8598f7d9-9974-4bb0-afd5-f34c02905b33,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,15/Jul/26 2:58 PM,15/Jul/26 3:51 PM,15/Jul/26 3:42 PM,15/Jul/26 3:51 PM,,0,,,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,,,,,,,,,,,0|i0029k:b,SPRINT 2,SPRINT 3,,1.0,,,Done,15/Jul/26 3:51 PM
QA-S2-02: Test forgot password ,SBS-373,10479,Feature,Done,SBS,Sprint_Backlog_SmartSpend,software,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,,Medium,Done,Bùi Quang Hiếu,712020:8598f7d9-9974-4bb0-afd5-f34c02905b33,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,15/Jul/26 2:57 PM,15/Jul/26 3:51 PM,15/Jul/26 3:50 PM,15/Jul/26 3:51 PM,,0,,,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,,,,,,,,,,,0|i0029k:d,SPRINT 2,SPRINT 3,,2.0,,,Done,15/Jul/26 3:51 PM
QA-S2-01: Test OTP ,SBS-369,10475,Feature,Done,SBS,Sprint_Backlog_SmartSpend,software,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,,Medium,Done,Bùi Quang Hiếu,712020:8598f7d9-9974-4bb0-afd5-f34c02905b33,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,15/Jul/26 2:57 PM,15/Jul/26 3:43 PM,15/Jul/26 3:41 PM,15/Jul/26 3:43 PM,,0,,,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,,,,,,,,,,,0|i002hs:,SPRINT 2,,,2.0,,,Done,15/Jul/26 3:43 PM
FE-S2-04: Tab skeleton ,SBS-361,10467,Feature,Done,SBS,Sprint_Backlog_SmartSpend,software,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,,Medium,Done,Quang Nguyễn,712020:52fd5a54-b2c3-407c-a5ad-9ab2de255e65,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,15/Jul/26 2:56 PM,15/Jul/26 3:41 PM,15/Jul/26 3:41 PM,15/Jul/26 3:41 PM,,0,,,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,,,,,,,,,,,0|i002ht:,SPRINT 2,,,2.0,,,Done,15/Jul/26 3:41 PM
FE-S2-03: Auth guard ,SBS-356,10462,Feature,Done,SBS,Sprint_Backlog_SmartSpend,software,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,,Medium,Done,Quang Nguyễn,712020:52fd5a54-b2c3-407c-a5ad-9ab2de255e65,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,15/Jul/26 2:56 PM,15/Jul/26 3:41 PM,15/Jul/26 3:40 PM,15/Jul/26 3:41 PM,,0,,,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,,,,,,,,,,,0|i002hv:,SPRINT 2,,,2.0,,,Done,15/Jul/26 3:41 PM
FE-S2-02: Forgot password ,SBS-345,10451,Feature,Done,SBS,Sprint_Backlog_SmartSpend,software,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,,Medium,Done,TrungHoang lê,712020:55551c28-ba57-4442-a23d-17b4aa99887f,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,15/Jul/26 2:55 PM,15/Jul/26 3:40 PM,15/Jul/26 3:39 PM,15/Jul/26 3:40 PM,,0,,,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,,,,,,,,,,,0|i002j7:,SPRINT 2,,,3.0,,,Done,15/Jul/26 3:40 PM
FE-S2-01: Màn OTP ,SBS-339,10445,Feature,Done,SBS,Sprint_Backlog_SmartSpend,software,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,,Medium,Done,Trường Giang Nguyễn,712020:87ac96f3-d706-4853-927a-b435d5d18746,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,15/Jul/26 2:54 PM,15/Jul/26 3:40 PM,15/Jul/26 3:40 PM,15/Jul/26 3:40 PM,,0,,,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,,,,,,,,,,,0|i002iz:,SPRINT 2,,,2.0,,,Done,15/Jul/26 3:40 PM
BE-S2-03: GET /users/me,SBS-332,10438,Feature,Done,SBS,Sprint_Backlog_SmartSpend,software,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,,Medium,Done,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,15/Jul/26 2:54 PM,15/Jul/26 3:38 PM,15/Jul/26 3:38 PM,15/Jul/26 3:38 PM,,0,,,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,,,,,,,,,,,0|i002j3:,SPRINT 2,,,1.0,,,Done,15/Jul/26 3:38 PM
BE-S2-02: Verify OTP + Reset password,SBS-326,10432,Feature,Done,SBS,Sprint_Backlog_SmartSpend,software,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,,Medium,Done,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,15/Jul/26 2:53 PM,15/Jul/26 3:37 PM,,15/Jul/26 3:37 PM,,0,,,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,,,,,,,,,,,0|i002hr:,SPRINT 2,,,3.0,,,Done,15/Jul/26 3:37 PM
BE-S2-01: OTP email,SBS-321,10427,Feature,Done,SBS,Sprint_Backlog_SmartSpend,software,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,,Medium,Done,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,15/Jul/26 2:52 PM,15/Jul/26 3:37 PM,,15/Jul/26 3:37 PM,,0,,,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,,,,,,,,,,,0|i002gn:,SPRINT 2,,,3.0,,,Done,15/Jul/26 3:37 PM
QA-S1-03: Smoke checklist ,SBS-314,10420,Feature,Done,SBS,Sprint_Backlog_SmartSpend,software,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,,Medium,Done,Bùi Quang Hiếu,712020:8598f7d9-9974-4bb0-afd5-f34c02905b33,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,15/Jul/26 2:50 PM,15/Jul/26 3:34 PM,,15/Jul/26 3:31 PM,,0,,,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,,,,,,,,,,,0|i000hv:,SPRINT 1,,,1.0,,,Done,15/Jul/26 3:31 PM
QA-S1-02: Test case Auth (2 SP),SBS-304,10410,Feature,Done,SBS,Sprint_Backlog_SmartSpend,software,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,,Medium,Done,Bùi Quang Hiếu,712020:8598f7d9-9974-4bb0-afd5-f34c02905b33,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,15/Jul/26 2:49 PM,15/Jul/26 3:19 PM,,15/Jul/26 3:19 PM,,0,,,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,,,,,,,,,,,0|i0017l:i,SPRINT 1,,,2.0,,,Done,15/Jul/26 3:19 PM
QA-S1-01: Test Plan v1,SBS-300,10406,Feature,Done,SBS,Sprint_Backlog_SmartSpend,software,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,,Medium,Done,Bùi Quang Hiếu,712020:8598f7d9-9974-4bb0-afd5-f34c02905b33,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,15/Jul/26 2:48 PM,15/Jul/26 3:19 PM,,15/Jul/26 3:19 PM,,0,,,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,,,,,,,,,,,0|i0017m:,SPRINT 1,,,2.0,,,Done,15/Jul/26 3:19 PM
QA-S3-03: Regression,SBS-299,10405,Feature,Done,SBS,Sprint_Backlog_SmartSpend,software,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,,Medium,Done,Bùi Quang Hiếu,712020:8598f7d9-9974-4bb0-afd5-f34c02905b33,Bùi Quang Hiếu,712020:8598f7d9-9974-4bb0-afd5-f34c02905b33,Bùi Quang Hiếu,712020:8598f7d9-9974-4bb0-afd5-f34c02905b33,15/Jul/26 2:48 PM,15/Jul/26 3:51 PM,15/Jul/26 3:51 PM,15/Jul/26 3:51 PM,,0,,,Bùi Quang Hiếu,712020:8598f7d9-9974-4bb0-afd5-f34c02905b33,,,,,,,,,,,0|i0029k:9,SPRINT 3,,,1.0,,,Done,15/Jul/26 3:51 PM
